chassi,modelo,ano,ultima_troca_pneus,ultima_troca_oleo,ultima_revisao,data_cadastro,empresa_id,placa
1HGCM82633A004352,"Modelo A",2020,2023-01-10,2023-01-15,2023-01-20,2024-01-01,1,ABC1234
1HGCM82633A004353,"Modelo B",2021,2023-01-11,2023-01-16,2023-01-21,2024-01-01,2,DEF5678
1HGCM82633A004354,"Modelo C",2022,2023-01-12,2023-01-17,2023-01-22,2024-01-01,3,GHI9012
1HGCM82633A004355,"Modelo D",2023,2023-01-13,2023-01-18,2023-01-23,2024-01-01,4,JKL3456
1HGCM82633A004356,"Modelo E",2020,2023-01-14,2023-01-19,2023-01-24,2024-01-01,5,MNO7890
1HGCM82633A004357,"Modelo F",2021,2023-01-15,2023-01-20,2023-01-25,2024-01-01,6,PQR1234
1HGCM82633A004358,"Modelo G",2022,2023-01-16,2023-01-21,2023-01-26,2024-01-01,7,STU5678
1HGCM82633A004359,"Modelo H",2023,2023-01-17,2023-01-22,2023-01-27,2024-01-01,8,VWX9012
1HGCM82633A004360,"Modelo I",2020,2023-01-18,2023-01-23,2023-01-28,2024-01-01,9,YZA3456
1HGCM82633A004361,"Modelo J",2021,2023-01-19,2023-01-24,2023-01-29,2024-01-01,10,BCD7890
1HGCM82633A004362,"Modelo A",2020,2023-02-10,2023-02-15,2023-02-20,2024-02-01,11,EFG1234
1HGCM82633A004363,"Modelo B",2021,2023-02-11,2023-02-16,2023-02-21,2024-02-01,12,HIJ5678
1HGCM82633A004364,"Modelo C",2022,2023-02-12,2023-02-17,2023-02-22,2024-02-01,13,KLM9012
1HGCM82633A004365,"Modelo D",2023,2023-02-13,2023-02-18,2023-02-23,2024-02-01,14,NOP3456
1HGCM82633A004366,"Modelo E",2020,2023-02-14,2023-02-19,2023-02-24,2024-02-01,15,QRS7890
1HGCM82633A004367,"Modelo F",2021,2023-02-15,2023-02-20,2023-02-25,2024-02-01,1,TUV1234
1HGCM82633A004368,"Modelo G",2022,2023-02-16,2023-02-21,2023-02-26,2024-02-01,2,WXY5678
1HGCM82633A004369,"Modelo H",2023,2023-02-17,2023-02-22,2023-02-27,2024-02-01,3,ZAB9012
1HGCM82633A004370,"Modelo I",2020,2023-02-18,2023-02-23,2023-02-28,2024-02-01,4,CDE3456
1HGCM82633A004371,"Modelo J",2021,2023-02-19,2023-02-24,0000-00-00,2024-02-01,5,FGH7890
1HGCM82633A004372,"Modelo A",2020,2023-03-10,2023-03-15,2023-03-20,2024-03-01,6,IJK1234
1HGCM82633A004373,"Modelo B",2021,2023-03-11,2023-03-16,2023-03-21,2024-03-01,7,LMN5678
1HGCM82633A004374,"Modelo C",2022,2023-03-12,2023-03-17,2023-03-22,2024-03-01,8,OPQ9012
1HGCM82633A004375,"Modelo D",2023,2023-03-13,2023-03-18,2023-03-23,2024-03-01,9,RST3456
1HGCM82633A004376,"Modelo E",2020,2023-03-14,2023-03-19,2023-03-24,2024-03-01,10,UVW7890
1HGCM82633A004377,"Modelo F",2021,2023-03-15,2023-03-20,2023-03-25,2024-03-01,11,XYZ1234
1HGCM82633A004378,"Modelo G",2022,2023-03-16,2023-03-21,2023-03-26,2024-03-01,12,ABC5678
1HGCM82633A004379,"Modelo H",2023,2023-03-17,2023-03-22,2023-03-27,2024-03-01,13,DEF9012
1HGCM82633A004380,"Modelo I",2020,2023-03-18,2023-03-23,2023-03-28,2024-03-01,14,GHI3456
1HGCM82633A004381,"Modelo J",2021,2023-03-19,2023-03-24,2023-03-29,2024-03-01,15,JKL7890
1HGCM82633A004382,"Modelo A",2020,2023-04-10,2023-04-15,2023-04-20,2024-04-01,1,MNO1234
1HGCM82633A004383,"Modelo B",2021,2023-04-11,2023-04-16,2023-04-21,2024-04-01,2,PQR5678
1HGCM82633A004384,"Modelo C",2022,2023-04-12,2023-04-17,2023-04-22,2024-04-01,3,STU9012
1HGCM82633A004385,"Modelo D",2023,2023-04-13,2023-04-18,2023-04-23,2024-04-01,4,VWX3456
1HGCM82633A004386,"Modelo E",2020,2023-04-14,2023-04-19,2023-04-24,2024-04-01,5,YZA7890
1HGCM82633A004387,"Modelo F",2021,2023-04-15,2023-04-20,2023-04-25,2024-04-01,6,BCD1234
1HGCM82633A004388,"Modelo G",2022,2023-04-16,2023-04-21,2023-04-26,2024-04-01,7,EFG5678
1HGCM82633A004389,"Modelo H",2023,2023-04-17,2023-04-22,2023-04-27,2024-04-01,8,HIJ9012
1HGCM82633A004390,"Modelo I",2020,2023-04-18,2023-04-23,2023-04-28,2024-04-01,9,KLM3456
1HGCM82633A004391,"Modelo J",2021,2023-04-19,2023-04-24,2023-04-29,2024-04-01,10,NOP7890
1HGCM82633A004392,"Modelo A",2020,2023-05-10,2023-05-15,2023-05-20,2024-05-01,11,QRS1234
1HGCM82633A004393,"Modelo B",2021,2023-05-11,2023-05-16,2023-05-21,2024-05-01,12,TUV5678
1HGCM82633A004394,"Modelo C",2022,2023-05-12,2023-05-17,2023-05-22,2024-05-01,13,WXY9012
